anyo;mes;dia;camas_totales;camas_ocupadas
2019;1;1;735;730
2019;1;2;1171;340
2019;1;3;554;350
2019;1;4;778;439
2019;1;5;723;585
2019;1;6;912;450
2019;1;7;871;453
2019;1;8;546;427
2019;1;9;602;497
2019;1;10;978;802
2019;1;11;1157;871
2019;1;12;1190;402
2019;1;13;726;627
2019;1;14;1002;696
2019;1;15;861;833
2019;1;16;517;377
2019;1;17;815;340
2019;1;18;840;740
2019;1;19;1186;1008
2019;1;20;946;792
2019;1;21;506;403
2019;1;22;717;474
2019;1;23;1099;811
2019;1;24;1161;877
2019;1;25;995;310
2019;1;26;791;605
2019;1;27;712;621
2019;1;28;977;660
2019;1;29;994;920
2019;1;30;908;682
2019;1;31;1191;621
2019;2;1;609;494
2019;2;2;826;488
2019;2;3;783;733
2019;2;4;948;576
2019;2;5;879;730
2019;2;6;648;625
2019;2;7;518;343
2019;2;8;536;461
2019;2;9;639;413
2019;2;10;623;345
2019;2;11;781;413
2019;2;12;812;633
2019;2;13;981;423
2019;2;14;1081;856
2019;2;15;903;367
2019;2;16;830;365
2019;2;17;577;501
2019;2;18;822;575
2019;2;19;517;439
2019;2;20;601;434
2019;2;21;611;509
2019;2;22;560;351
2019;2;23;971;464
2019;2;24;654;653
2019;2;25;506;418
2019;2;26;766;695
2019;2;27;784;361
2019;2;28;962;574
2019;3;1;754;744
2019;3;2;883;862
2019;3;3;703;692
2019;3;4;518;476
2019;3;5;927;560
2019;3;6;510;331
2019;3;7;745;349
2019;3;8;807;529
2019;3;9;882;512
2019;3;10;941;705
2019;3;11;519;333
2019;3;12;931;532
2019;3;13;751;539
2019;3;14;816;491
2019;3;15;811;435
2019;3;16;606;402
2019;3;17;962;608
2019;3;18;1071;749
2019;3;19;804;378
2019;3;20;1080;599
2019;3;21;831;479
2019;3;22;569;501
2019;3;23;943;457
2019;3;24;1028;546
2019;3;25;767;610
2019;3;26;503;414
2019;3;27;884;379
2019;3;28;694;325
2019;3;29;569;371
2019;3;30;949;827
2019;3;31;547;307
2019;4;1;685;301
2019;4;2;553;361
2019;4;3;738;664
2019;4;4;1065;1054
2019;4;5;722;656
2019;4;6;802;705
2019;4;7;823;558
2019;4;8;932;414
2019;4;9;1087;689
2019;4;10;917;914
2019;4;11;589;312
2019;4;12;692;653
2019;4;13;799;393
2019;4;14;999;719
2019;4;15;1166;501
2019;4;16;867;345
2019;4;17;993;898
2019;4;18;732;639
2019;4;19;1095;551
2019;4;20;531;368
2019;4;21;668;632
2019;4;22;766;516
2019;4;23;1098;410
2019;4;24;827;795
2019;4;25;1153;334
2019;4;26;883;378
2019;4;27;591;360
2019;4;28;682;518
2019;4;29;1087;613
2019;4;30;839;774
2019;5;1;978;870
2019;5;2;964;789
2019;5;3;870;737
2019;5;4;764;384
2019;5;5;560;305
2019;5;6;1021;470
2019;5;7;548;369
2019;5;8;793;573
2019;5;9;953;523
2019;5;10;1069;445
2019;5;11;1056;449
2019;5;12;867;849
2019;5;13;744;638
2019;5;14;667;457
2019;5;15;1073;627
2019;5;16;706;471
2019;5;17;744;683
2019;5;18;1043;892
2019;5;19;857;563
2019;5;20;721;651
2019;5;21;745;529
2019;5;22;1074;703
2019;5;23;795;411
2019;5;24;519;302
2019;5;25;603;349
2019;5;26;857;429
2019;5;27;1058;833
2019;5;28;805;784
2019;5;29;750;645
2019;5;30;968;873
2019;5;31;593;474
2019;6;1;750;677
2019;6;2;579;464
2019;6;3;857;500
2019;6;4;1030;591
2019;6;5;805;334
2019;6;6;973;623
2019;6;7;625;387
2019;6;8;755;553
2019;6;9;974;671
2019;6;10;624;390
2019;6;11;1093;684
2019;6;12;882;540
2019;6;13;630;399
2019;6;14;531;508
2019;6;15;502;479
2019;6;16;1111;730
2019;6;17;700;545
2019;6;18;900;431
2019;6;19;1144;1059
2019;6;20;864;616
2019;6;21;793;688
2019;6;22;645;443
2019;6;23;1111;977
2019;6;24;1034;698
2019;6;25;1015;813
2019;6;26;1063;880
2019;6;27;1068;461
2019;6;28;1163;1152
2019;6;29;799;685
2019;6;30;646;563
2019;7;1;628;619
2019;7;2;645;391
2019;7;3;1194;1109
2019;7;4;1142;1049
2019;7;5;822;672
2019;7;6;659;318
2019;7;7;1176;497
2019;7;8;500;427
2019;7;9;1037;772
2019;7;10;726;325
2019;7;11;1084;396
2019;7;12;702;608
2019;7;13;828;747
2019;7;14;584;543
2019;7;15;804;351
2019;7;16;1183;383
2019;7;17;1056;1018
2019;7;18;512;340
2019;7;19;692;597
2019;7;20;610;478
2019;7;21;700;388
2019;7;22;1011;481
2019;7;23;772;682
2019;7;24;894;834
2019;7;25;606;510
2019;7;26;900;687
2019;7;27;888;550
2019;7;28;862;371
2019;7;29;759;400
2019;7;30;634;326
2019;7;31;977;912
2019;8;1;718;544
2019;8;2;535;458
2019;8;3;652;555
2019;8;4;932;404
2019;8;5;1145;928
2019;8;6;943;664
2019;8;7;500;432
2019;8;8;1091;522
2019;8;9;927;486
2019;8;10;901;655
2019;8;11;570;320
2019;8;12;1153;361
2019;8;13;1121;1111
2019;8;14;1145;461
2019;8;15;850;337
2019;8;16;558;349
2019;8;17;997;454
2019;8;18;906;586
2019;8;19;612;321
2019;8;20;746;527
2019;8;21;697;666
2019;8;22;990;356
2019;8;23;844;669
2019;8;24;529;389
2019;8;25;769;700
2019;8;26;955;642
2019;8;27;561;398
2019;8;28;615;473
2019;8;29;1075;457
2019;8;30;833;717
2019;8;31;886;396
2019;9;1;867;609
2019;9;2;613;353
2019;9;3;696;648
2019;9;4;626;571
2019;9;5;1153;479
2019;9;6;822;422
2019;9;7;1028;408
2019;9;8;558;315
2019;9;9;687;365
2019;9;10;772;500
2019;9;11;1062;756
2019;9;12;754;609
2019;9;13;1195;921
2019;9;14;861;642
2019;9;15;563;486
2019;9;16;763;745
2019;9;17;1192;763
2019;9;18;1035;792
2019;9;19;590;322
2019;9;20;810;640
2019;9;21;901;498
2019;9;22;1094;738
2019;9;23;1024;805
2019;9;24;916;463
2019;9;25;921;752
2019;9;26;656;470
2019;9;27;919;686
2019;9;28;1005;481
2019;9;29;541;385
2019;9;30;1167;438
2019;10;1;782;383
2019;10;2;586;512
2019;10;3;842;504
2019;10;4;737;687
2019;10;5;585;419
2019;10;6;722;398
2019;10;7;1133;557
2019;10;8;1151;854
2019;10;9;946;753
2019;10;10;888;482
2019;10;11;763;368
2019;10;12;866;608
2019;10;13;770;671
2019;10;14;747;450
2019;10;15;802;443
2019;10;16;542;356
2019;10;17;993;755
2019;10;18;1038;623
2019;10;19;808;457
2019;10;20;1082;610
2019;10;21;727;320
2019;10;22;746;576
2019;10;23;993;337
2019;10;24;1142;489
2019;10;25;1174;1098
2019;10;26;1169;944
2019;10;27;768;452
2019;10;28;1122;449
2019;10;29;1135;958
2019;10;30;1144;1141
2019;10;31;871;855
2019;11;1;1138;647
2019;11;2;786;406
2019;11;3;1119;1026
2019;11;4;657;561
2019;11;5;681;653
2019;11;6;1062;324
2019;11;7;919;661
2019;11;8;923;634
2019;11;9;801;369
2019;11;10;1027;946
2019;11;11;1086;1052
2019;11;12;1131;712
2019;11;13;1169;555
2019;11;14;549;376
2019;11;15;889;336
2019;11;16;800;641
2019;11;17;567;301
2019;11;18;727;468
2019;11;19;759;401
2019;11;20;786;761
2019;11;21;777;564
2019;11;22;1170;1049
2019;11;23;1134;708
2019;11;24;921;612
2019;11;25;673;606
2019;11;26;1025;1006
2019;11;27;900;515
2019;11;28;512;307
2019;11;29;528;515
2019;11;30;952;336
2019;12;1;892;500
2019;12;2;1059;745
2019;12;3;539;405
2019;12;4;1123;486
2019;12;5;643;505
2019;12;6;705;374
2019;12;7;567;562
2019;12;8;654;536
2019;12;9;694;578
2019;12;10;1074;761
2019;12;11;1136;430
2019;12;12;822;715
2019;12;13;572;482
2019;12;14;701;615
2019;12;15;618;512
2019;12;16;538;358
2019;12;17;703;525
2019;12;18;950;798
2019;12;19;725;336
2019;12;20;1036;635
2019;12;21;1117;1096
2019;12;22;874;605
2019;12;23;739;619
2019;12;24;514;434
2019;12;25;1102;668
2019;12;26;942;493
2019;12;27;1071;332
2019;12;28;1189;341
2019;12;29;1167;1007
2019;12;30;695;494
2019;12;31;695;445
2020;1;1;510;306
2020;1;2;827;661
2020;1;3;1070;1028
2020;1;4;616;345
2020;1;5;1152;1030
2020;1;6;1044;744
2020;1;7;1014;396
2020;1;8;630;562
2020;1;9;1151;684
2020;1;10;1097;414
2020;1;11;738;686
2020;1;12;982;550
2020;1;13;654;606
2020;1;14;970;562
2020;1;15;765;483
2020;1;16;640;481
2020;1;17;862;417
2020;1;18;771;620
2020;1;19;682;317
2020;1;20;975;796
2020;1;21;951;687
2020;1;22;642;391
2020;1;23;765;738
2020;1;24;514;419
2020;1;25;840;504
2020;1;26;790;402
2020;1;27;579;345
2020;1;28;725;550
2020;1;29;877;847
2020;1;30;668;660
2020;1;31;995;388
2020;2;1;1045;856
2020;2;2;829;753
2020;2;3;724;516
2020;2;4;657;487
2020;2;5;654;616
2020;2;6;599;598
2020;2;7;693;678
2020;2;8;568;491
2020;2;9;1171;602
2020;2;10;1116;1069
2020;2;11;977;528
2020;2;12;934;401
2020;2;13;984;831
2020;2;14;1196;853
2020;2;15;882;516
2020;2;16;1005;596
2020;2;17;741;614
2020;2;18;528;477
2020;2;19;964;382
2020;2;20;1009;493
2020;2;21;858;305
2020;2;22;986;763
2020;2;23;845;748
2020;2;24;529;338
2020;2;25;717;528
2020;2;26;1086;417
2020;2;27;579;491
2020;2;28;854;372
2020;2;29;979;415
2020;3;1;1089;864
2020;3;2;959;549
2020;3;3;922;769
2020;3;4;756;608
2020;3;5;998;929
2020;3;6;1178;620
2020;3;7;606;374
2020;3;8;752;551
2020;3;9;727;461
2020;3;10;954;898
2020;3;11;959;761
2020;3;12;550;417
2020;3;13;835;455
2020;3;14;956;727
2020;3;15;822;718
2020;3;16;664;644
2020;3;17;1195;975
2020;3;18;517;320
2020;3;19;651;516
2020;3;20;1070;995
2020;3;21;634;308
2020;3;22;553;510
2020;3;23;767;729
2020;3;24;763;432
2020;3;25;1008;964
2020;3;26;596;301
2020;3;27;728;549
2020;3;28;1138;1011
2020;3;29;1183;662
2020;3;30;516;467
2020;3;31;682;643
2020;4;1;929;826
2020;4;2;898;658
2020;4;3;613;311
2020;4;4;1172;750
2020;4;5;761;593
2020;4;6;529;510
2020;4;7;1072;370
2020;4;8;838;514
2020;4;9;691;617
2020;4;10;875;626
2020;4;11;692;650
2020;4;12;1136;496
2020;4;13;687;582
2020;4;14;1055;825
2020;4;15;537;522
2020;4;16;669;501
2020;4;17;1119;462
2020;4;18;1171;987
2020;4;19;870;483
2020;4;20;507;425
2020;4;21;543;524
2020;4;22;1099;474
